		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
570	1.90E-05	-2.83E-05	65.742836	67.48777008	0.001949121
571	1.40E-05	1.24E-06	64.95159149	72.88560486	0.003046487
572	-4.54E-06	3.43E-05	64.21717072	76.92430878	0.004573443
573	1.91E-05	3.28E-05	63.562603	79.67858124	0.006774648
574	2.41E-05	3.17E-05	62.86349487	81.36837006	0.009213725
575	1.49E-05	4.41E-05	62.17331314	82.25595093	0.01025545 
576	9.13E-06	5.63E-05	61.42885208	82.76930237	0.008985777
577	8.06E-06	-1.20E-05	60.57629013	83.23613739	0.006902149
578	1.65E-05	2.78E-05	59.62077332	83.92409515	0.005205968
579	1.15E-05	2.77E-05	58.58820724	85.03696442	0.004028677
580	1.22E-05	2.31E-05	57.49927902	86.37208557	0.003041621
581	-7.92E-07	4.95E-05	56.32910156	87.84138489	0.002200523
582	1.47E-05	1.05E-05	55.13038635	89.1309967	0.001603661
583	9.24E-06	-5.75E-06	53.9876709	90.15743256	0.001276639
584	6.59E-06	2.61E-05	52.76120377	90.99474335	0.001085525
585	4.13E-06	5.28E-05	51.5216217	91.80503082	0.001057939
586	1.41E-05	3.55E-05	50.29059601	92.75041199	0.001089386
587	3.10E-06	2.16E-05	48.95472717	93.84996033	0.001170279
588	6.91E-06	2.38E-05	47.57098389	94.9825058	0.001199784
589	5.25E-06	2.96E-05	46.17618179	96.02735901	0.001140137
590	1.88E-05	4.73E-05	44.68422318	96.79229736	0.001048247
591	2.24E-07	3.28E-05	43.15664291	97.18216705	0.000923348
592	1.38E-05	9.65E-06	41.56435013	97.35301208	0.000834084
593	7.38E-06	3.82E-05	40.00299072	97.44841003	0.000779958
594	1.07E-05	7.69E-06	38.43854141	97.6906662	0.000760603
595	8.22E-06	9.12E-06	36.93692017	98.04975891	0.000729604
596	1.32E-05	1.47E-06	35.54182434	98.59951782	0.000701294
597	9.07E-06	3.63E-06	34.24943542	99.15690613	0.00067122 
598	3.94E-06	-1.36E-05	33.0812912	99.53936768	0.000629506
599	2.62E-06	1.08E-05	32.07181549	99.62832642	0.000613887
600	1.62E-05	6.83E-06	31.20326996	99.41235352	0.00061819 
601	1.03E-05	2.41E-05	30.48589897	98.97085571	0.000645287
602	5.57E-06	4.59E-06	29.86980438	98.48514557	0.000676313
603	1.76E-05	1.51E-05	29.32352638	98.06493378	0.000721372
604	1.83E-05	-1.36E-05	28.81386948	97.81576538	0.000785628
605	1.71E-05	1.30E-05	28.28843689	97.74308777	0.000839045
606	8.22E-06	2.09E-05	27.72906113	97.78733826	0.000859925
607	3.06E-06	-2.15E-05	27.11422729	97.89685059	0.000851755
608	1.08E-05	3.33E-05	26.43438339	98.0224762	0.000829818
609	2.04E-05	2.11E-05	25.68115044	98.13034821	0.000770362
610	7.51E-06	3.23E-05	24.8633194	98.22904205	0.00067746 
611	1.18E-05	1.40E-05	23.9794178	98.2806015	0.000623179
612	1.46E-05	-2.66E-06	23.05731583	98.2484436	0.000555301
613	5.53E-06	-2.87E-05	22.07345581	98.17658234	0.000514074
614	5.86E-07	-2.92E-05	21.02193069	98.02650452	0.000480933
615	9.82E-06	-2.55E-05	19.94942665	97.67446899	0.000466798
616	1.21E-05	-7.15E-06	18.82471085	97.19935608	0.000456301
617	1.54E-05	-2.01E-05	17.69045067	96.54411316	0.000470937
618	4.43E-06	3.78E-06	16.5866642	95.83074188	0.000492466
619	4.33E-06	-5.08E-06	15.52685547	95.06613922	0.000518743
620	9.70E-06	-3.66E-07	14.52715588	94.38357544	0.000558844
621	7.80E-06	1.79E-05	13.61337471	93.70697784	0.000597679
622	9.57E-06	-8.91E-06	12.77795601	93.15946198	0.000643466
623	8.70E-06	-6.87E-06	12.03119469	92.54350281	0.000676505
624	1.50E-05	2.48E-05	11.36250877	91.95735168	0.000714288
